t_stamp, tss, j_cost 
765.701000, 0.364000, 0.049338 
767.601000, 0.445000, 0.049098 
769.501000, 0.299000, 0.048531 
773.301000, 0.315000, 0.049883 
775.201000, 0.292000, 0.047849 
779.001000, 0.317000, 0.048176 
780.901000, 0.308000, 0.050301 
782.801000, 0.297000, 0.048522 
784.701000, 0.370000, 0.049072 
786.601000, 0.395000, 0.049050 
788.501000, 0.447000, 0.049510 
790.401000, 0.460000, 0.049377 
792.301000, 0.406000, 0.049416 
794.201000, 0.350000, 0.048539 
796.101000, 0.287000, 0.049557 
798.001000, 0.424000, 0.049976 
799.901000, 0.297000, 0.048185 
801.801000, 0.400000, 0.048739 
803.701000, 0.308000, 0.050833 
805.601000, 0.434000, 0.049281 
807.501000, 0.395000, 0.048066 
811.301000, 0.299000, 0.049951 
815.101000, 0.481000, 0.049305 
817.001000, 0.280000, 0.048597 
818.901000, 0.427000, 0.049270 
820.801000, 0.457000, 0.048895 
822.701000, 0.385000, 0.049227 
824.601000, 0.419000, 0.049339 
826.501000, 0.392000, 0.049072 
828.401000, 0.302000, 0.049060 
830.301000, 0.390000, 0.049411 
832.201000, 0.418000, 0.049068 
834.101000, 0.328000, 0.051474 
836.001000, 0.447000, 0.049162 
837.901000, 0.410000, 0.049340 
839.801000, 0.300000, 0.052177 
841.701000, 0.307000, 0.046809 
843.601000, 0.392000, 0.049242 
845.501000, 0.387000, 0.049343 
847.401000, 0.424000, 0.049552 
849.301000, 0.381000, 0.050091 
851.201000, 0.390000, 0.048974 
855.001000, 0.435000, 0.049227 
856.901000, 0.297000, 0.048927 
858.801000, 0.382000, 0.049293 
860.701000, 0.348000, 0.049188 
862.601000, 0.408000, 0.049069 
864.501000, 0.315000, 0.050183 
868.301000, 0.279000, 0.050280 
870.201000, 0.276000, 0.047566 
874.001000, 0.318000, 0.049209 
875.901000, 0.330000, 0.050486 
877.801000, 0.281000, 0.048395 
879.701000, 0.368000, 0.049981 
881.601000, 0.402000, 0.048771 
883.501000, 0.455000, 0.049607 
885.401000, 0.446000, 0.049094 
887.301000, 0.458000, 0.049480 
889.201000, 0.379000, 0.049656 
891.101000, 0.307000, 0.048958 
893.001000, 0.398000, 0.048924 
894.901000, 0.291000, 0.049747 
896.801000, 0.402000, 0.048436 
898.701000, 0.319000, 0.049554 
900.601000, 0.424000, 0.049005 
902.501000, 0.443000, 0.049554 
906.301000, 0.284000, 0.047729 
910.101000, 0.464000, 0.049488 
912.001000, 0.307000, 0.048850 
913.901000, 0.412000, 0.049011 
915.801000, 0.470000, 0.048978 
917.701000, 0.363000, 0.049502 
919.601000, 0.420000, 0.049306 
921.501000, 0.389000, 0.049804 
923.401000, 0.310000, 0.047027 
925.301000, 0.395000, 0.049381 
927.201000, 0.396000, 0.048890 
929.101000, 0.293000, 0.047822 
931.001000, 0.500000, 0.049322 
932.901000, 0.420000, 0.049236 
934.801000, 0.271000, 0.048243 
936.701000, 0.283000, 0.048254 
938.601000, 0.404000, 0.049151 
940.501000, 0.381000, 0.049384 
942.401000, 0.457000, 0.048876 
944.301000, 0.381000, 0.049695 
946.201000, 0.375000, 0.049266 
950.001000, 0.455000, 0.049072 
951.901000, 0.290000, 0.049143 
953.801000, 0.363000, 0.050034 
955.701000, 0.370000, 0.049385 
957.601000, 0.447000, 0.049248 
959.501000, 0.312000, 0.049267 
963.301000, 0.307000, 0.048934 
965.201000, 0.305000, 0.048199 
969.001000, 0.308000, 0.047538 
970.901000, 0.309000, 0.049083 
972.801000, 0.274000, 0.048869 
974.701000, 0.354000, 0.049312 
976.601000, 0.396000, 0.048881 
978.501000, 0.454000, 0.049523 
980.401000, 0.473000, 0.049420 
982.301000, 0.420000, 0.048611 
984.201000, 0.362000, 0.049324 
986.101000, 0.320000, 0.047910 
988.001000, 0.395000, 0.049175 
989.901000, 0.294000, 0.048240 
991.801000, 0.410000, 0.049235 
993.701000, 0.313000, 0.049687 
995.601000, 0.444000, 0.048860 
997.501000, 0.386000, 0.049429 
